accuracy,completeness,fluency,prosodic,total,words,speaker,gender,age,split
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['M', 'AA0', 'R', 'K'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 2. ]), 'stress': 10, 'text': 'MARK', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'OW0', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'GOING', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'SEE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EH1', 'L', 'IH0', 'F', 'AH0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'ELEPHANT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
7,10.0,9,9,7,"[{'accuracy': 8, 'phones': array(['K', 'EH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.4, 1.8]), 'stress': 10, 'text': 'KATE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['L', 'AH0', 'V', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.4]), 'stress': 10, 'text': 'LOVES', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['CH', 'AY1', 'N', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'CHINA', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'IH0', 'K', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'SIX', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AO0', 'R'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FOUR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'EIGHT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
8,10.0,9,8,7,"[{'accuracy': 10, 'phones': array(['S', 'EH1', 'V', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'SEVEN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['TH', 'R', 'IY0'], dtype=object), 'phones-accuracy': array([1.2, 2. , 1.8]), 'stress': 10, 'text': 'THREE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AO0', 'R'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'FOUR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'EIGHT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AY0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'NINE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ONE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
7,10.0,10,9,7,"[{'accuracy': 10, 'phones': array(['W', 'AH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ONE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 6, 'phones': array(['Z', 'IH', 'AH1', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 0.6, 0.6, 2. ]), 'stress': 10, 'text': 'ZERO', 'total': 6, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ONE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 6, 'phones': array(['Z', 'IH', 'AH1', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 0.6, 0.6, 2. ]), 'stress': 10, 'text': 'ZERO', 'total': 6, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
8,10.0,9,9,8,"[{'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.4]), 'stress': 10, 'text': 'FIVE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AY0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'NINE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AY0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'NINE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
8,10.0,9,8,8,"[{'accuracy': 8, 'phones': array(['T', 'AH0', 'M', 'EY1', 'T', 'OW0'], dtype=object), 'phones-accuracy': array([1.8, 2. , 2. , 1. , 2. , 2. ]), 'stress': 10, 'text': 'TOMATO', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'P', 'R', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'SPRING', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'OW1', 'T', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 2. ]), 'stress': 10, 'text': 'PHOTO', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
8,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['L', 'EY1', 'L', 'AA0'], dtype=object), 'phones-accuracy': array([2. , 1.2, 2. , 2. ]), 'stress': 10, 'text': 'LAYLA', 'total': 9, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'UH0', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'GOOD', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AE0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'AT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'W', 'IH1', 'M', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'SWIMMING', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['AE1', 'L', 'IH0', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'ALICE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'IH0', 'V'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'GIVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'P'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'UP', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'AA1', 'K', 'S', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'BOXING', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0003,m,6,test
