accuracy,completeness,fluency,prosodic,total,words,speaker,gender,age,split,id
8,10.0,9,9,8,"[{'accuracy': 10, 'phones': array(['W', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'WE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['K', 'AO0', 'L'], dtype=object), 'phones-accuracy': array([2. , 1.8, 1.8]), 'stress': 10, 'text': 'CALL', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 6, 'phones': array(['B', 'EH0', 'R'], dtype=object), 'phones-accuracy': array([2., 1., 1.]), 'stress': 10, 'text': 'BEAR', 'total': 6, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010011
8,10.0,9,9,8,"[{'accuracy': 8, 'phones': array(['Z', 'IH1', 'R', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 1.4, 1.4, 2. ]), 'stress': 10, 'text': 'ZERO', 'total': 7, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['TH', 'R', 'IY0'], dtype=object), 'phones-accuracy': array([1.2, 2. , 2. ]), 'stress': 10, 'text': 'THREE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FIVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ONE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010035
9,10.0,10,10,9,"[{'accuracy': 10, 'phones': array(['TH', 'R', 'IY0'], dtype=object), 'phones-accuracy': array([1.8, 2. , 2. ]), 'stress': 10, 'text': 'THREE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EH1', 'V', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'SEVEN', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010053
10,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['EH1', 'L', 'IH0', 'F', 'AH0', 'N', 'T', 'S'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 2. , 1.8, 2. , 2. , 2. ]), 'stress': 10, 'text': 'ELEPHANTS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'AY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TAI', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'UW0', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'GOOSE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010063
9,10.0,9,10,9,"[{'accuracy': 10, 'phones': array(['T', 'AA0', 'M'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'TOM', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'IH0', 'V', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.8]), 'stress': 10, 'text': 'GIVES', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'P'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'UP', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'AA1', 'K', 'S', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'BOXING', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010069
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'HE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'EY0', 'T', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'HATES', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['SH', 'UW1', 'T', 'IH0', 'NG'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'SHOOTING', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010075
10,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['M', 'AE1', 'N', 'D', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'MANDY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'AE0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'HAS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'A', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'IH0', 'G'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'BIG', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AA0', 'R', 'M'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'ARM', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010089
10,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['L', 'UH0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'LOOK', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AE0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'AT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['AE0', 'N', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.4]), 'stress': 10, 'text': ""ANN'S"", 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['P', 'AE0', 'N', 'T', 'S'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.8, 1.8]), 'stress': 10, 'text': 'PANTS', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010095
9,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['W', 'AH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.8, 2. ]), 'stress': 10, 'text': 'WHAT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'B', 'AW1', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'ABOUT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['B', 'AH0', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'BUS', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010106
6,10.0,9,8,5,"[{'accuracy': 10, 'phones': array(['DH', 'EH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THEN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['HH', 'IY0'], dtype=object), 'phones-accuracy': array([1., 2.]), 'stress': 10, 'text': 'HE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'WENT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 2, 'phones': array(['TH', 'IY0', 'M'], dtype=object), 'phones-accuracy': array([1.2, 0. , 1.6]), 'stress': 10, 'text': 'THEME', 'total': 3, 'mispronunciations': array([{'canonical-phone': 'IY', 'index': 1, 'pronounced-phone': 'AH'}],
       dtype=object)}
 {'accuracy': 10, 'phones': array(['P', 'AA0', 'R', 'K'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 2. ]), 'stress': 10, 'text': 'PARK', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010113
